A,A.ADM1,first-order administrative division,"a primary administrative division of a country, such as a state in the United States"
A,A.ADM1H,historical first-order administrative division,a former first-order administrative division
A,A.ADM2,second-order administrative division,a subdivision of a first-order administrative division
A,A.ADM2H,historical second-order administrative division,a former second-order administrative division
A,A.ADM3,third-order administrative division,a subdivision of a second-order administrative division
A,A.ADM3H,historical third-order administrative division,a former third-order administrative division
A,A.ADM4,fourth-order administrative division,a subdivision of a third-order administrative division
A,A.ADM4H,historical fourth-order administrative division,a former fourth-order administrative division
A,A.ADM5,fifth-order administrative division,a subdivision of a fourth-order administrative division
A,A.ADM5H,historical fifth-order administrative division,a former fifth-order administrative division
A,A.ADMD,administrative division,"an administrative division of a country, undifferentiated as to administrative level"
A,A.ADMDH,historical administrative division ,"a former administrative division of a political entity, undifferentiated as to administrative level"
A,A.LTER,leased area,"a tract of land leased to another country, usually for military installations"
A,A.PCL,political entity,
A,A.PCLD,dependent political entity,
A,A.PCLF,freely associated state,
A,A.PCLH,historical political entity,a former political entity
A,A.PCLI,independent political entity,
A,A.PCLIX,section of independent political entity,
A,A.PCLS,semi-independent political entity,
A,A.PRSH,parish,an ecclesiastical district
A,A.TERR,territory,
A,A.ZN,zone,
A,A.ZNB,buffer zone,a zone recognized as a buffer between two nations in which military presence is minimal or absent
H,H.AIRS,seaplane landing area,a place on a waterbody where floatplanes land and take off
H,H.ANCH,anchorage,an area where vessels may anchor
H,H.BAY,bay,"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf"
H,H.BAYS,bays,"coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf"
H,H.BGHT,bight(s),an open body of water forming a slight recession in a coastline
H,H.BNK,bank(s),"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation"
H,H.BNKR,stream bank,a sloping margin of a stream channel which normally confines the stream to its channel on land
H,H.BNKX,section of bank,
H,H.BOG,bog(s),"a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants"
H,H.CAPG,icecap,a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet
H,H.CHN,channel,"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows"
H,H.CHNL,lake channel(s),"that part of a lake having water deep enough for navigation between islands, shoals, etc."
H,H.CHNM,marine channel,that part of a body of water deep enough for navigation through an area otherwise not suitable
H,H.CHNN,navigation channel,a buoyed channel of sufficient depth for the safe navigation of vessels
H,H.CNFL,confluence,a place where two or more streams or intermittent streams flow together
H,H.CNL,canal,an artificial watercourse
H,H.CNLA,aqueduct,a conduit used to carry water
H,H.CNLB,canal bend,a conspicuously curved or bent section of a canal
H,H.CNLD,drainage canal,an artificial waterway carrying water away from a wetland or from drainage ditches
H,H.CNLI,irrigation canal,a canal which serves as a main conduit for irrigation water
H,H.CNLN,navigation canal(s),a watercourse constructed for navigation of vessels
H,H.CNLQ,abandoned canal,
H,H.CNLSB,underground irrigation canal(s),a gently inclined underground tunnel bringing water for irrigation from aquifers
H,H.CNLX,section of canal,
H,H.COVE,cove(s),"a small coastal indentation, smaller than a bay"
H,H.CRKT,tidal creek(s),a meandering channel in a coastal wetland subject to bi-directional tidal currents
H,H.CRNT,current,a horizontal flow of water in a given direction with uniform velocity
H,H.CUTF,cutoff,a channel formed as a result of a stream cutting through a meander neck
H,H.DCK,dock(s),"a waterway between two piers, or cut into the land for the berthing of ships"
H,H.DCKB,docking basin,a part of a harbor where ships dock
H,H.DOMG,icecap dome,a comparatively elevated area on an icecap
